,subjects,elecs,s_Mai_RL,0_theta_AUC,1_alpha_AUC,2_beta_AUC,3_gamma_AUC,0_theta_Pow0,1_alpha_Pow0,2_beta_Pow0,3_gamma_Pow0,0_theta_Pow1,1_alpha_Pow1,2_beta_Pow1,3_gamma_Pow1,sig_1levtheta,sig_1levalpha,sig_1levbeta,sig_1levgamma,region,2lev_sig_theta,2lev_sig_alpha,2lev_sig_beta,2lev_sig_gamma
113,S2,16,HC,0.7606904761904761,0.6777619047619047,0.7264761904761905,0.6822380952380953,433.9998547323738,34.24623612175338,30.024400940375408,2.8582691654086387,207.1580192881004,19.13300439003164,40.97092134517965,3.106304263745697,1,1,1,1,MTL,1,1,1,0
114,S2,17,HC,0.5057142857142857,0.5275238095238095,0.5348571428571428,0.6749285714285714,419.6848588877114,32.053724635586875,38.70090339902007,3.4866531646066115,249.7084578953762,41.69666616611927,43.98232071442754,3.814982689276601,0,0,0,1,MTL,0,0,0,1
115,S2,23,ACC,0.5682142857142857,0.5933095238095238,0.6126666666666666,0.5854285714285714,8.151178475644015,5.217785641709653,7.520459417640016,1.7461277466557543,20.534581569312287,11.687081760276953,16.834608715410866,2.7692508236447018,0,0,1,0,Frontal,0,0,0,0
116,S2,24,ACC,0.6725,0.7562619047619048,0.5869285714285714,0.6782142857142857,313.39766123590215,68.81896096035311,80.65397217152398,7.6299154262072575,477.84841784259913,105.93473834823477,98.87356780723756,8.956024064604605,1,1,0,1,Frontal,1,0,0,0
117,S2,25,ACC,0.51,0.6212619047619048,0.5569285714285714,0.6509761904761905,23.897899627397837,16.37783731760787,22.63611247089575,3.376851780298828,21.286161435831016,20.932451968410657,20.039049917811717,3.649499240865821,0,1,0,1,Frontal,0,0,0,0
118,S2,26,MFG,0.7059523809523809,0.6586904761904762,0.6311428571428571,0.6912619047619049,22.19479416351838,13.783923715736178,26.12647484054036,4.5584932044632245,15.335407356809672,9.925695500712326,32.925370959862626,5.174017277058428,1,1,1,1,Frontal,0,0,1,1
119,S2,27,MFG,0.8069523809523811,0.6360952380952379,0.7093809523809524,0.6868095238095238,339.7480050239452,128.63246418680177,292.0462301896532,24.22840120707529,198.199846444047,169.83228584297163,352.39338250128236,27.352480666499282,1,1,1,1,Frontal,1,0,0,0
120,S2,28,MFG,0.5764047619047619,0.6972619047619049,0.6498095238095238,0.7312857142857144,164.58212999812216,84.14290719812287,169.13806066007618,25.19171665242137,210.5007813861227,106.38527177757878,216.41641191947247,30.19422526266117,0,1,1,1,Frontal,0,0,0,0
121,S2,29,MFG,0.603047619047619,0.5460714285714287,0.5928095238095239,0.7131904761904762,82.40276466832336,47.36372978293362,81.54765688323269,18.174366407657573,62.48365411183129,37.0741385944217,90.76864902760529,20.673785104542734,1,0,0,1,Frontal,0,0,0,1
122,S2,30,MFG,0.5617142857142857,0.7268095238095238,0.6876904761904762,0.7583333333333333,74.59699250715856,50.18408076627641,62.96067435129056,7.201424063275981,92.57500773330985,31.49640734671457,79.13941728809715,8.10497223286579,0,1,1,1,Frontal,0,0,0,0
123,S2,41,OFC,0.7887857142857142,0.5526190476190476,0.5736904761904762,0.6270238095238094,26.902139525045012,14.753163303487847,16.887439517971632,2.087349478516816,16.306842030784587,17.119539919160484,20.911736681745037,2.326687791852777,1,0,0,1,Olf,0,0,0,1
124,S2,42,OFC,0.6318333333333334,0.6117380952380953,0.5576666666666668,0.7495714285714286,11.675814367920616,7.42023842613517,10.316232628949457,1.065609422064449,7.671150585774468,9.401148272578755,12.188024695169602,1.2143553487688956,1,1,0,1,Olf,0,0,0,0
125,S2,43,OFC,0.6138095238095238,0.5621666666666668,0.736,0.678047619047619,27.231955112095534,17.962544665294086,22.838305540679922,2.633087156600808,19.082597230570627,14.085268636778883,31.589585552273412,3.1142948033994866,1,0,1,1,Olf,1,0,1,1
126,S2,44,OFC,0.5221428571428571,0.5537857142857143,0.8115714285714286,0.7941904761904762,109.58192276743151,82.39083754904595,129.4564056637013,13.922084494367695,125.95562177229252,92.76673067957566,180.0051012074646,17.544157410722686,0,0,1,1,Olf,0,0,1,1
127,S2,45,OFC,0.7498571428571429,0.5685952380952382,0.678547619047619,0.7457380952380952,140.63883712461384,49.18527156515914,60.85655781505332,10.472073652687355,75.20591395793805,56.047329723933274,75.57985632595091,12.146213671239275,1,0,1,1,Olf,0,0,0,1
128,S2,46,OFC,0.6836904761904762,0.5819285714285714,0.6481904761904762,0.6449047619047619,77.88269659719658,35.89210076564846,66.84924818286068,13.562964621573665,112.7669812219943,48.82434218764967,78.21398912421803,15.44101175825403,1,0,1,1,Olf,1,0,1,0
129,S2,47,OFC,0.5006666666666668,0.7523333333333333,0.7240476190476189,0.7552142857142857,53.89607333801276,34.700384989377305,59.982446294157846,11.118604948467839,59.310694088303,22.423161876062974,44.79183362060858,13.245655137626107,0,1,1,1,Olf,0,1,1,0
130,S2,48,IFG,0.6279761904761904,0.6201666666666668,0.6268571428571429,0.7871904761904761,62.948216780253105,43.620884925865106,59.58515452867563,7.7548101186587965,48.96443019928428,33.077616607759786,73.459214299763,9.476244056043287,1,1,1,1,Frontal,0,0,1,0
